0:一	-1:一

0:吾輩は	1:猫である
1:猫である	-1:猫である

0:名前は	2:無い
1:まだ	2:無い
2:無い	-1:無い

0:どこで	1:生れたか
1:生れたか	4:つかぬ
2:とんと	4:つかぬ
3:見当が	4:つかぬ
4:つかぬ	-1:つかぬ

0:何でも	1:薄暗い
1:薄暗い	3:所で
2:じめじめした	3:所で
3:所で	4:ニャーニャー泣いて
4:ニャーニャー泣いて	6:記憶している
5:いた事だけは	6:記憶している
6:記憶している	-1:記憶している

0:吾輩は	5:見た
1:ここで	2:始めて
2:始めて	3:人間という
3:人間という	4:ものを
4:ものを	5:見た
5:見た	-1:見た

0:しかも	8:種族であったそうだ
1:あとで	2:聞くと
2:聞くと	8:種族であったそうだ
3:それは	8:種族であったそうだ
4:書生という	5:人間中で
5:人間中で	8:種族であったそうだ
6:一番	7:獰悪な
7:獰悪な	8:種族であったそうだ
8:種族であったそうだ	-1:種族であったそうだ

0:この	1:書生というのは
1:書生というのは	7:話である
2:時々	4:捕えて
3:我々を	4:捕えて
4:捕えて	5:煮て
5:煮て	6:食うという
6:食うという	7:話である
7:話である	-1:話である

0:しかし	9:思わなかった
1:その	2:当時は
2:当時は	5:なかったから
3:何という	4:考も
4:考も	5:なかったから
5:なかったから	9:思わなかった
6:別段	7:恐し
7:恐し	9:思わなかった
8:いとも	9:思わなかった
9:思わなかった	-1:思わなかった

0:ただ	3:載せられて
1:彼の	2:掌に
2:掌に	3:載せられて
3:載せられて	5:持ち上げられた
4:スーと	5:持ち上げられた
5:持ち上げられた	6:時
6:時	8:フワフワした
7:何だか	8:フワフワした
8:フワフワした	9:感じが
9:感じが	10:あったばかりである
10:あったばかりである	-1:あったばかりである

0:掌の	1:上で
1:上で	3:落ちついて
2:少し	3:落ちついて
3:落ちついて	6:見たのが
4:書生の	5:顔を
5:顔を	6:見たのが
6:見たのが	8:人間という
7:いわゆる	8:人間という
8:人間という	9:ものの
9:ものの	10:見始であろう
10:見始であろう	-1:見始であろう

0:この	1:時
1:時	3:ものだと
2:妙な	3:ものだと
3:ものだと	4:思った
4:思った	5:感じが
5:感じが	7:残っている
6:今でも	7:残っている
7:残っている	-1:残っている

0:第一毛をもって	1:装飾されべきはずの
1:装飾されべきはずの	2:顔が
2:顔が	3:つるつるして
3:つるつるして	5:薬缶だ
4:まるで	5:薬缶だ
5:薬缶だ	-1:薬缶だ

0:その後	3:逢ったが
1:猫にも	3:逢ったが
2:だいぶ	3:逢ったが
3:逢ったが	9:ない
4:こんな	5:片輪には
5:片輪には	9:ない
6:一度も	7:出会わした
7:出会わした	8:事が
8:事が	9:ない
9:ない	-1:ない

0:のみならず	4:突起している
1:顔の	2:真中が
2:真中が	4:突起している
3:あまりに	4:突起している
4:突起している	-1:突起している

0:そうして	6:吹く
1:その	2:穴の
2:穴の	3:中から
3:中から	6:吹く
4:時々	6:吹く
5:ぷうぷうと煙を	6:吹く
6:吹く	-1:吹く

0:どうも	1:咽せぽくて
1:咽せぽくて	3:弱った
2:実に	3:弱った
3:弱った	-1:弱った

0:これが	4:ものである
1:人間の	2:飲む
2:飲む	3:煙草という
3:煙草という	4:ものである
4:ものである	5:事は
5:事は	9:知った
6:ようやく	9:知った
7:この	8:頃
8:頃	9:知った
9:知った	-1:知った

0:この	1:書生の
1:書生の	2:掌の
2:掌の	3:裏で
3:裏で	7:坐って
4:しばらくは	5:よい
5:よい	6:心持に
6:心持に	7:坐って
7:坐って	8:おったが
8:おったが	13:運転し始めた
9:しばらく	10:すると
10:すると	13:運転し始めた
11:非常な	12:速力で
12:速力で	13:運転し始めた
13:運転し始めた	-1:運転し始めた

0:書生が	1:動くのか
1:動くのか	3:動くのか
2:自分だけが	3:動くのか
3:動くのか	4:分らないが
4:分らないが	7:廻る
5:無暗に	7:廻る
6:眼が	7:廻る
7:廻る	-1:廻る

0:胸が	1:悪くなる
1:悪くなる	-1:悪くなる

0:到底	1:助からないと
1:助からないと	2:思っていると
2:思っていると	8:出た
3:どさりと	5:して
4:音が	5:して
5:して	8:出た
6:眼から	8:出た
7:火が	8:出た
8:出た	-1:出た

0:それまでは	1:記憶しているが
1:記憶しているが	7:分らない
2:あとは	7:分らない
3:何の	4:事やら
4:事やら	7:分らない
5:いくら	6:考え出そうとしても
6:考え出そうとしても	7:分らない
7:分らない	-1:分らない

0:ふと	2:付いて
1:気が	2:付いて
2:付いて	3:見ると
3:見ると	5:いない
4:書生は	5:いない
5:いない	-1:いない

0:たくさん	1:おった
1:おった	2:兄弟が
2:兄弟が	4:見えぬ
3:一疋も	4:見えぬ
4:見えぬ	-1:見えぬ

0:肝心の	1:母親さえ
1:母親さえ	3:隠してしまった
2:姿を	3:隠してしまった
3:隠してしまった	-1:隠してしまった

0:その	1:上今までの
1:上今までの	2:所とは
2:所とは	3:違って
3:違って	5:明るい
4:無暗に	5:明るい
5:明るい	-1:明るい

0:眼を	1:明いていられぬくらいだ
1:明いていられぬくらいだ	-1:明いていられぬくらいだ

0:はてな	8:痛い
1:何でも	3:おかしいと
2:容子が	3:おかしいと
3:おかしいと	8:痛い
4:のそのそ	5:這い出して
5:這い出して	6:見ると
6:見ると	8:痛い
7:非常に	8:痛い
8:痛い	-1:痛い

0:吾輩は	6:棄てられたのである
1:藁の	2:上から
2:上から	6:棄てられたのである
3:急に	6:棄てられたのである
4:笹原の	5:中へ
5:中へ	6:棄てられたのである
6:棄てられたのである	-1:棄てられたのである

0:ようやくの	1:思いで
1:思いで	3:這い出すと
2:笹原を	3:這い出すと
3:這い出すと	7:ある
4:向うに	7:ある
5:大きな	6:池が
6:池が	7:ある
7:ある	-1:ある

0:吾輩は	8:見た
1:池の	2:前に
2:前に	3:坐って
3:坐って	5:したら
4:どう	5:したら
5:したら	6:よかろうと
6:よかろうと	7:考えて
7:考えて	8:見た
8:見た	-1:見た

0:別に	3:出ない
