

0:どこで	1:生れたか
3:見当が	4:つかぬ

3:所で	4:ニャーニャー泣いて
4:ニャーニャー泣いて	6:記憶している
5:いた事だけは	6:記憶している
6:記憶している	6:記憶している

0:吾輩は	5:見た
1:ここで	2:始めて
4:ものを	5:見た

1:あとで	2:聞くと

3:我々を	4:捕えて

2:掌に	3:載せられて
4:スーと	5:持ち上げられた
6:時	8:フワフワした
9:感じが	10:あったばかりである

1:上で	3:落ちついて
5:顔を	6:見たのが
9:ものの	10:見始であろう
10:見始であろう	10:見始であろう

3:ものだと	4:思った
5:感じが	7:残っている
6:今でも	7:残っている

0:第一毛をもって	1:装飾されべきはずの
2:顔が	3:つるつるして

0:その後	3:逢ったが
1:猫にも	3:逢ったが
6:一度も	7:出会わした

2:真中が	4:突起している
4:突起している	4:突起している

3:中から	6:吹く
5:ぷうぷうと煙を	6:吹く

1:咽せぽくて	3:弱った

1:人間の	2:飲む
5:事は	9:知った
8:頃	9:知った

3:裏で	7:坐って
6:心持に	7:坐って
12:速力で	13:運転し始めた
13:運転し始めた	13:運転し始めた

0:書生が	1:動くのか
1:動くのか	3:動くのか
2:自分だけが	3:動くのか
3:動くのか	4:分らないが
6:眼が	7:廻る

0:胸が	1:悪くなる

4:音が	5:して
6:眼から	8:出た
7:火が	8:出た

0:それまでは	1:記憶しているが
1:記憶しているが	7:分らない
2:あとは	7:分らない
4:事やら	7:分らない

1:気が	2:付いて
4:書生は	5:いない

0:たくさん	1:おった
2:兄弟が	4:見えぬ
3:一疋も	4:見えぬ

1:母親さえ	3:隠してしまった
2:姿を	3:隠してしまった

2:所とは	3:違って

0:眼を	1:明いていられぬくらいだ

0:吾輩は	6:棄てられたのである
2:上から	6:棄てられたのである
3:急に	6:棄てられたのである
5:中へ	6:棄てられたのである
6:棄てられたのである	6:棄てられたのである

1:思いで	3:這い出すと
2:笹原を	3:這い出すと
4:向うに	7:ある
6:池が	7:ある

0:吾輩は	8:見た
2:前に	3:坐って

2:分別も	3:出ない

3:書生がまた	5:来てくれるかと
4:迎に	5:来てくれるかと

2:試みに	3:やって
5:誰も	6:来ない

2:上を	5:渡って
4:風が	5:渡って
6:日が	8:かかる
7:暮れ	8:かかる

0:腹が	2:減って来た
1:非常に	2:減って来た

1:声が	2:出ない

2:何でも	15:廻り始めた
4:食物の	5:ある
6:所まで	7:ある
9:決心を	10:して
13:池を	15:廻り始めた
14:左りに	15:廻り始めた

0:そこを	1:我慢して
1:我慢して	3:這って行くと
2:無理やりに	3:這って行くと
5:事で	9:出た
8:所へ	9:出た

0:ここへ	1:這入ったら
5:竹垣の	6:崩れた
7:穴から	10:もぐり込んだ
9:邸内に	10:もぐり込んだ

2:もので	10:餓死したかも知れんのである
5:竹垣が	6:破れていなかったなら
7:吾輩は	10:餓死したかも知れんのである
9:路傍に	10:餓死したかも知れんのである
10:餓死したかも知れんのである	10:餓死したかも知れんのである

1:蔭とは	3:云った

2:穴は	11:なっている
3:今日に	4:至るまで
5:吾輩が	8:訪問する
7:三毛を	8:訪問する
10:通路に	11:なっている

1:邸へは	2:忍び込んだものの

1:うちに	2:暗くなる
3:腹は	4:減る
7:雨が	8:降って来るという
9:始末で	13:出来なくなった
12:猶予が	13:出来なくなった

5:方へ	7:あるいて行く
6:方へと	7:あるいて行く

0:今から	1:考えると
3:時は	8:おったのだ
6:内に	7:這入って
8:おったのだ	8:おったのだ

